name,name1,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,lat,lon,type_facility,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,sumh,ccbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,shb,shc,stdt,tbs,aot,ptm,msnh,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
LAC USC Medical Center,Behavioral Health,1200 North State Street,,Los Angeles,CA,90033,,Los Angeles,323-409-2800,,,,http://dhs.lacounty.gov/wps/portal/dhs/lacusc/gme/,34.0577573,-118.2081617,MH,1,1,,,,,,,,1,1,1,1,,1,,,1,,,1,,,1,,,1,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,,,,,,1,1,,,,1,,,,1,1,,1,1,,,,,1,,1,1,1,1,,,,,1,,1,1,1,1,,,,,,1,,1,,1,1,1,,1,,,,1,1,,,,1,,1,1,,1,1,1,1,,,,,1,,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
SSG/Asian Pacific Counseling and,Treatment Centers,520 South Lafayette Park Place,Suite 300,Los Angeles,CA,90057,,Los Angeles,213-252-2100,,,,http://www.apctc.org,34.0636002,-118.2821251,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,,,,,1,,,,,1,,,,,,,1,1,1,,,,1,1,1,,1,1,1,1,,1,,,1,,1,,1,,,,,1,,1,1,1,,1,,1,1,,,1,,,1,,,,1,,,,,,,,1,1,1,,,1,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,Metro Center,672 South La Fayette Park Place,Suite 6,Los Angeles,CA,90057,3224,Los Angeles,310-390-6612,Intakes,888-807-7250,213-381-3626,http://www.didihirsch.org,34.060185,-118.283754,MH,1,,,,,,,1,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,1,,1,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,1,1,,,1,,,,,,1,,,,,,1,,,,,,,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gateways Hospital and MH Center,Child and Adolescent OP Program,1891 Effie Street,,Los Angeles,CA,90026,,Los Angeles,323-644-2000,Intakes,323-644-2000 x253,323-644-2000 x273,http://www.gatewayshospital.org/,34.085158,-118.256578,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,,,1,,,,,1,,,,,,,1,,,,,,1,1,1,,,,,,,,,1,,,1,,,,,,1,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,,1,,,1,,,,,1,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Childrens Bureau of Southern CA,,1910 Magnolia Avenue,,Los Angeles,CA,90007,,Los Angeles,213-342-0100,,,,http://www.all4kids.org,34.0394723,-118.285642,MH,1,,,,,,,1,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,1,1,1,,,,,,,,1,1,,1,,,,,,1,1,,1,,,,,,,1,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Mental Health Center,,3303 North Broadway,,Los Angeles,CA,90031,2803,Los Angeles,323-478-8200,,,,http://,34.0741129,-118.206315,MH,1,,,,,,1,,,1,,1,1,1,,1,1,1,,1,,1,,,,,1,,,,1,,,1,1,1,1,1,,,,,,,1,,,,1,1,1,1,1,1,1,,,,,,1,,1,,1,,,,,,,1,1,,1,,1,1,1,1,,,,1,1,1,1,1,1,1,,1,1,,1,1,1,,,,,,1,,1,,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,1,,,,,,,,,,1,,1,,,,,,,,,1,1,,,1,1,,,,,,
APAIT a Division of SSG,,3055 Wilshire Boulevard,Suite 300,Los Angeles,CA,90010,,Los Angeles,213-375-3830,,,,http://www.apaitonline.org,34.0622325,-118.2880455,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,,1,,,,,1,,,,,,,1,1,1,,,,,,,,1,1,,,,1,,,,,1,1,1,,,,,1,1,1,,,,1,,1,,1,1,1,1,1,1,,1,1,1,,1,,,,1,,1,,,,,1,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,
Pacific Clinics,Portals Mariposa Clubhouse,679 South New Hampshire Avenue,4th Floor,Los Angeles,CA,90005,,Los Angeles,213-639-2660,Intake,877-722-2737,,http://www.pacificclinics.org,34.0606741,-118.293195,MH,1,,,,,,,1,,1,1,1,1,,1,,,,,1,1,,,,,,1,,,,,,,,1,1,1,,1,1,1,1,,,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,,1,,1,,,,1,1,1,,1,,,,1,,,1,,,,1,,,1,1,,,,,1,1,1,,,1,1,,1,,,,,1,,,,,,,,1,,,,1,1,1,1,,1,1,1,1,,,,,1,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
Gateways Hospital and MH Center,Percy Village Adult Residential Prog,3455 Percy Street,,Los Angeles,CA,90023,1716,Los Angeles,323-268-2100 x567,Intakes,323-268-2100 x0,323-268-2100 x552,http://www.gatewayshospital.org/,34.0284749,-118.1986568,MH,1,,,,,,,,1,1,1,1,1,,1,,,1,,,,1,,,1,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,1,,,1,,1,,,1,1,,,,1,,,,,1,,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Haven at College ,,817 West 34th Street,4th Floor,Los Angeles,CA,90089,,Los Angeles,855-806-4266,,,,http://www.thehavenatcollege.com/,34.0231738,-118.2842734,MH,1,,,,,,1,,,1,,1,1,1,1,1,1,,,1,,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,,,,1,,,,1,,,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Childrens Bureau of Southern CA,,3910 Oakwood Avenue,,Los Angeles,CA,90004,,Los Angeles,323-953-7350,Intake,323-953-7356 x431,,http://www.all4kids.org/,34.077416,-118.292392,MH,1,,,,,,1,,,1,1,1,1,,,,1,1,,1,1,,,,,,1,,,,,,,,1,,1,,,,1,,,,1,,,,1,,,,,1,,1,,,1,1,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,1,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviva Family and Childrens Services,Community Mental Health,3580 Wilshire Boulevard,8th Floor,Los Angeles,CA,90010,,Los Angeles,213-637-5000,Intake,323-876-0550 x0,,http://www.aviva.org,34.0611215,-118.3028158,MH,1,,,,,,1,,,1,1,,1,1,1,,1,,,,,1,,,,,1,,,,,,,1,1,,1,1,,1,1,1,,,1,1,1,,1,,1,1,,1,,1,,,,,,,1,1,,,1,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,1,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Clinic,,3600 Wilshire Boulevard,Suite 2200,Los Angeles,CA,90010,,Los Angeles,213-382-4400,Intake,213-382-4400 x0,,http://www.heritageclinic.org,34.0605163,-118.3036379,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,,,,,,1,1,1,,1,,,,,,,1,,,,,,,,,1,,,,,,1,1,,,,1,1,,,,,,1,1,,,1,,,1,1,,,,,,1,,1,,1,,,,,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Wellnest,Formerly LA Child Guidance Clinic,3787 South Vermont Avenue,,Los Angeles,CA,90007,4203,Los Angeles,323-373-2400,Intake,323-766-2345,,http://wellnestla.org/,34.0173455,-118.291916,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,,,,,1,,,,,,,,1,,,,,1,1,,,1,1,,,,1,,,1,1,1,1,1,,,,1,,,1,1,1,,1,,1,1,,1,1,,,1,1,,1,,,,,,,,1,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portals House Inc/Portals Community,Connections/FSP/Adult/Serv Area 6,3881 South Western Avenue,,Los Angeles,CA,90062,1105,Los Angeles,323-290-4378,Intakes,877-722-2737,323-290-4340,http://www.pacificclinics.org,34.015039,-118.3091643,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,1,,1,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,1,,,,1,,,,1,,1,1,1,,1,1,,,1,1,1,1,1,,,1,,1,1,1,,,1,1,1,1,1,1,,1,1,,1,,,,,1,,1,,,,,,1,,,,1,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
ALMA Family Services,Centro Estrella,4701 East Cesar E Chavez Avenue,,Los Angeles,CA,90022,1209,Los Angeles,323-881-3799,,,,http://almafamilyservices.org,34.04077,-118.164403,MH,1,,,,,,1,,,1,1,1,1,,1,1,1,,,,1,,,,,,1,,,,,,,,1,1,,,,,,,,,1,,,,1,,,,,1,1,1,,,1,1,1,1,1,1,1,,1,,1,1,,,1,,1,1,,,1,,,1,,,,1,,1,,,,,,1,1,1,1,,,1,,,1,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellnest,Life Learning Center,5054 Vermont Avenue,,Los Angeles,CA,90037,,Los Angeles,323-373-2444,Intakes,323-766-2345,323-373-2400,http://wellnestla.org/,33.9966843,-118.2911972,MH,1,,,,,,,1,,1,1,1,1,,1,,1,,,1,1,,,,,,1,,,,,,,,1,,,,,1,1,,,1,1,,,,1,,,1,1,1,1,1,,,,1,,,1,1,1,,1,,1,1,,1,1,,,1,1,,1,1,,,,,,1,,1,1,1,,,1,1,1,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uplift Family Services,,815 North El Centro Avenue,,Los Angeles,CA,90038,,Los Angeles,323-769-7163,Intakes,323-769-7171,323-769-7190,http://www.upliftfs.org/,34.0855137,-118.3256933,MH,1,,,,,,1,,,1,1,,1,,1,,1,1,,1,1,,,,,,1,,,,,,,,1,,1,1,,1,,,,,1,,,,,,,,1,1,,,,,,,,,1,1,,,1,,,,,,1,,1,,,,1,,,,,,,1,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale Mem Hospital and Healthcare,Behav Health Unit 3 South,1420 South Central Avenue,,Glendale,CA,91204,,Los Angeles,818-502-1900 x2362,Intakes,818-409-7740,818-502-2362,http://www.dignityhealth.org,34.1280862,-118.2569564,MH,1,1,,,,,,,,,,1,,,,,,1,,1,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,,,,1,1,,,1,,1,1,1,,,1,1,1,1,,1,,1,,1,,,,,1,,,,,1,1,,1,,1,1,1,1,1,,,,1,,,1,1,,,,1,,,1,,1,,,1,,,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,1,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood Mental Health Center,,1224 North Vine Street,,Los Angeles,CA,90038,,Los Angeles,323-769-6100,,,,http://dmh.lacounty.gov/,34.0933177,-118.32615,MH,1,,,,,,1,,,1,,1,1,1,1,,1,,,1,,1,,,,,1,,,,1,,,1,1,1,,1,,1,1,,,,1,,1,,1,1,1,,1,1,1,1,,,,,1,1,1,,1,,,,,,,1,1,,1,,,,,1,,,,,,1,1,1,,1,,,1,,1,1,1,,,,,,1,,,,,1,,1,,,1,1,1,1,,,,1,,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,1,,1,1,1,1,,,,1,,1,1,,,1,1,,,,,,
Hillsides FRC,Bienvenidos/East Los Angeles,5400 East Olympic Boulevard,1st Floor,Los Angeles,CA,90022,,Los Angeles,323-869-9225,Intake,323-274-3075,,http://www.hillsides.org,34.0151135,-118.1556963,MH,1,,,,,,1,,,1,1,1,,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,1,,,1,,,,1,1,1,,1,,1,,,1,1,,,1,,,,,,,1,,,1,1,1,,,,,,1,1,1,,,,1,,,1,,,,,1,,,,,,,,1,,,,,,1,1,,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA Greater Los Angeles Healthcare Sys,East Los Angeles Mental Health Clinic,5426 East Olympic Boulevard,,Los Angeles,CA,90022,,Los Angeles,323-725-7372,Intake,323-725-7557,,http://,34.0145179,-118.1554564,MH,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,1,,,1,1,1,,,,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,1,1,1,1,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern California Health and,Rehabilitation Program (SCHARP) FSP,3850 South Crenshaw Boulevard,,Los Angeles,CA,90008,,Los Angeles,323-751-3026,,,,http://scharpca.org,34.0174928,-118.3350659,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,,,,,,,1,1,,,,1,,,,1,1,,,,1,,,,,1,1,,,,,1,,,,,1,,,,,,1,1,1,,1,1,,1,1,1,,1,,,,1,1,1,1,1,,1,1,,1,1,1,,,1,,,1,,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillsides FRC,South Pasadena,149 Pasadena Avenue,,South Pasadena,CA,91030,,Los Angeles,323-274-3065,Intake,323-247-3075,,http://www.hillsides.org,34.1117485,-118.1728818,MH,1,,,,,,1,,,1,1,1,,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,1,,,,1,,,,,1,,1,,,1,,,,1,1,1,,1,,1,,,1,1,,1,1,,,,,,,1,,,1,1,1,1,1,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tessie Cleveland Community Servs Corp,,8019 South Compton Avenue,,Los Angeles,CA,90001,,Los Angeles,323-586-7333,,,,http://www.tccsc.org,33.9660488,-118.2480026,MH,1,,,,,,1,,,1,1,1,1,1,1,1,1,1,,1,1,,,,,1,1,,,,,,,1,1,1,,1,,,,,,,1,,,,1,,,,,1,1,,,,,1,1,,1,1,1,,1,,1,,,1,1,,1,1,,,1,,,,,,1,1,,1,,,,,,1,1,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Wellnest,Formerly LA Child Guidance Clinic,4401 Crenshaw Boulevard,Suite 300,Los Angeles,CA,90043,,Los Angeles,323-290-8360,Intake,323-766-2345,,http://wellnestla.org/,34.003228,-118.3320404,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,1,,1,1,,,,,,1,,,,,,,,1,,,,,1,1,,,1,1,,,,,,,1,1,1,1,1,,,,1,,,1,1,1,,1,,1,1,,,1,,,1,1,,1,,,,,,,,,1,,,,,,1,1,1,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hathaway/Sycamores Child/Family Servs,,840 North Avenue 66,,Los Angeles,CA,90042,,Los Angeles,323-257-9600,Intake,323-257-9600 x7119,,http://www.hathaway-sycamores.org/about-hathaway-sycamores/,34.1206366,-118.172231,MH,1,,,,,,,1,,1,1,,1,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,1,1,,,1,1,1,1,1,1,,1,,1,,,,,1,1,,,,,,,,1,1,,,1,,,,,1,1,,1,,,,1,,,,,,,,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Didi Hirsch Mental Health Services,,1540 East Colorado Street,,Glendale,CA,91205,1514,Los Angeles,818-244-7257,Intake,888-807-7250,,http://www.didihirsch.org,34.1422784,-118.2300479,MH,1,,,,,,,1,,1,1,1,1,,1,1,1,,,1,1,,,,,,1,,,,,,,1,1,1,,1,,,,,,,1,,,,1,,,,,1,1,,,,,,1,,1,1,1,,1,,1,,,,1,,1,1,,,1,1,,,,,1,1,1,1,,,1,1,,1,1,1,1,,,1,,,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,1,,1,,,,,,,,,,1,,,1,,,,,,,
Hathaway/Sycamores Child/Family Servs,,3741 Stocker Street,Suite 100,Los Angeles,CA,90008,,Los Angeles,323-733-0322,Intakes,844-222-2377,626-395-7100,http://www.hathaway-sycamores.org,34.0064992,-118.3386624,MH,1,,,,,,,1,,1,1,,1,,1,1,1,,,1,,1,,,,,1,,,,,,,,1,1,,,,1,1,1,1,1,1,,1,,1,,,,1,1,1,,,,,1,,,1,1,,,1,,,,,1,1,,1,1,,,1,,,,,,,,1,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
